Ad
All Time
Account,Customer ID,Headline,Headline 1,Headline 2,Expanded Text Ad Headline 3,Short headline,Long headline,Responsive Search Ad headline 1,Responsive Search Ad headline 2,Responsive Search Ad headline 3,Responsive Search Ad headline 4,Responsive Search Ad headline 5,Responsive Search Ad headline 6,Responsive Search Ad headline 7,Responsive Search Ad headline 8,Responsive Search Ad headline 9,Responsive Search Ad headline 10,Responsive Search Ad headline 11,Responsive Search Ad headline 12,Responsive Search Ad headline 13,Responsive Search Ad headline 14,Responsive Search Ad headline 15,Responsive Search Ad description 1,Responsive Search Ad description 2,Responsive Search Ad description 3,Responsive Search Ad description 4,Description,Expanded Text Ad Description 2,Description line 1,Description line 2,Display URL,Ad,Path 1,Path 2,Business name,Campaign,Ad group,Campaign type,Campaign subtype,Ad final URL,Ad mobile final URL,Currency,Clicks,Impressions,CTR,Avg. CPC,Cost,Conversions,View-through conv.,Cost / conv.,Conv. rate
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,We provide a lot of Services like,"French Nails, Polish Nails, Children Manicure / Pedicure, Spa Manicure / Pedicure, Express",,,,, --, --, --,Service,Service,Search Only,All features,https://theelysianboutique.com/nails, --,USD,243,"31,637",0.77%,1.29,312.65,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,Complimentary Beverages Provided. Call or Visit Us.,,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo,Search Only,All features,https://theelysianboutique.com, --,USD,3,"2,671",0.11%,1.12,3.35,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - Dallas,TCU Class Ring,Search Only,All features,https://ringwraps.com/, --,USD,1,103,0.97%,1.62,1.62,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Custom Engagement Ring Wraps, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Look no further, this is THE Wow Factor for your Engagement Ring. Take a Peek!", --,,,,, --, --, --,Conversion Keywords - October,Engagement Ring Wraps,Search Network with Display Select,All features,https://ringwraps.com/custom-work/, --,USD,2,107,1.87%,0.82,1.64,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Aggie Ring Day is Here,Get RingWraps with your Ring, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Ring Day is Friday Nov 17 @ 11AM - 6:30PM. See how RingWraps looks on your Ring!, --,,,,,RingWraps, --, --,Branded Keywords - A&M (US),Aggie Ring Day,Search Only,All features,https://www.facebook.com/RingWraps/, --,USD,20,484,4.13%,5.06,101.20,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Our Service will blow your mind,,,,, --, --, --,Brand,Brand,Search Only,All features,https://theelysianboutique.com, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Treat Yourself to a Marvellous Experience at Houston's Top Nail Salon-The Elysian Boutique,"Services Include: Manicure, Pedicure, Acrylic, French Polish, Cuticle Treatment, and More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nails,Search Only,All features,https://theelysianboutique.com, --,USD,3,230,1.30%,0.68,2.04,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,The Law Office of Kenneth Soh, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Do you have questions about Asbestos? Our team has dedicated specialists for you, --,,,,, --, --, --,Campaign #1,Kenneth Soh,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/asbestos-usage/, --,USD,12,89,13.48%,0.52,6.24,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique - A One of a Kind Nail Salon.,Complimentary Beverages Provided. Call or Visit Us.,,,,, --, --, --,Nik-Brand,Brand-Exact,Search Only,All features,https://theelysianboutique.com, --,USD,7,77,9.09%,0.56,3.92,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,The Ultimate Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience height of fashion,"Meticulously designed for your Impeccable Taste, this is the treatment you deserve.",,,,, --, --, --,Elysian-Map-Ads,Map Ads,Search Network with Display Select,All features,https://theelysianboutique.com, --,USD,21,"1,489",1.41%,0.79,16.68,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Many Additional and Acrylic Services,,,,, --, --, --,elysian_leads,Elysian,Search Network with Display Select,All features,https://theelysianboutique.com, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston Heights,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,"Services: Manicure, Pedicure, Acrylic, French Polish, Cuticle Treatment, and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nails,Search Only,All features,https://theelysianboutique.com, --,USD,9,"1,434",0.63%,1.36,12.21,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,Complimentary Beverages Provided. Call or Visit Us.,,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nail salon,Search Only,All features,https://theelysianboutique.com, --,USD,7,308,2.27%,1.37,9.57,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - A&M,Aggie Ring Day,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Custom Diamond Ring Guards, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,A Lifetime Gift for Yourself or a Loved One. See what people are raving about!, --,,,,, --, --, --,Conversion Keywords - October,Diamond Ring Guards,Search Network with Display Select,All features,https://ringwraps.com/custom-work/, --,USD,5,696,0.72%,0.78,3.90,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - A&M (US),Brand Name,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston Heights,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,"Services: Manicure, Pedicure, Acrylic, French Polish, Cuticle Treatment, and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo,Search Only,All features,https://theelysianboutique.com, --,USD,38,"13,552",0.28%,0.80,30.36,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique - A One of a Kind Nail Salon.,Pay Us a Visit for a Mind Blowing Experience.,,,,, --, --, --,Nik-Brand,Brand-Exact,Search Only,All features,https://theelysianboutique.com, --,USD,8,92,8.70%,1.12,8.98,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique- A One of a Kind Nail Salon,Pay us a Visit for a Mind Blowing Experience.,,,,, --, --, --,Nik-NonGeo-NB,NB-NonGeo-Phrase,Search Only,All features,https://theelysianboutique.com, --,USD,9,899,1.00%,1.55,13.94,0.00,0,0.00,0.00%
